phecode	phenotype	sex	category	icd9_ukb_num	icd9_ukb	icd10_ukb_num	icd10_ukb
71.1	HIV infection, symptomatic	Both	infectious diseases	NA	NA	18	B20.0, B20.1, B20.2, B20.3, B20.4, B20.6, B20.8, B21.1, B21.2, B21.3, B21.8, B22.0, B22.2, B22.7, B23.0, B23.2, B23.8, B24
78	Viral warts & HPV		infectious diseases	1	078.1	2	A63.0, B07
79	Viral infection		infectious diseases	11	052.9, 055.9, 072.0, 072.3, 072.9, 073.9, 074.1, 078.0, 078.8, 079.2, 079.9	49	A28.1, A70, A74.9, A82.1, A88.1, A90, A91, A92.0, A92.1, A93.8, A94, B00.8, B05.9, B06.9, B08.0, B08.1, B08.3, B08.4, B08.5, B08.8, B09, B20.2, B23.0, B25.8, B25.9, B26.0, B26.9, B33.0, B33.3, B33.8, B34.0, B34.1, B34.2, B34.3, B34.4, B34.8, B34.9, B97.0, B97.1, B97.3, B97.4, B97.5, B97.6, B97.7, B97.8, H81.2, J20.4, J20.5, J20.6
79.1	Varicella infection	Both	infectious diseases	1	052.9	2	B01.8, B01.9
79.2	Infectious mononucleosis	Both	infectious diseases	NA	NA	4	B27.0, B27.1, B27.8, B27.9
80	Postoperative infection		infectious diseases	1	998.5	2	T81.4, T88.0
81	Infection/inflammation of internal prosthetic device; implant; and graft		infectious diseases	1	996.6	6	T82.6, T83.5, T83.6, T84.6, T84.7, T85.7
90	Sexually transmitted infections (not HIV or hepatitis)		infectious diseases	5	091.3, 097.9, 098.0, 098.8, 099.2	11	A51.4, A52.1, A52.3, A52.7, A52.8, A53.0, A53.9, A58, A63.8, A64, N34.1
90.2	Gonococcal infections	Both	infectious diseases	2	098.0, 098.8	4	A54.4, A54.8, A54.9, K67.1
90.3	Venereal diseases due to Chlamydia trachomatis	Both	infectious diseases	NA	NA	2	A56.0, A56.8
110	Dermatophytosis / Dermatomycosis		infectious diseases	4	110.1, 110.4, 110.5, 110.8	NA	NA
110.1	Dermatophytosis	Both	infectious diseases	4	110.1, 110.4, 110.5, 110.8	4	B35.2, B35.8, B35.9, B36.9
110.11	Dermatophytosis of nail	Both	infectious diseases	1	110.1	1	B35.1
110.12	Althete's foot	Both	infectious diseases	1	110.4	1	B35.3
110.13	Dermatophytosis of the body	Both	infectious diseases	1	110.5	2	B35.4, B35.6
110.2	Dermatomycoses	Both	infectious diseases	NA	NA	2	B36.0, B36.8
112	Candidiasis	Both	infectious diseases	4	112.0, 112.1, 112.8, 112.9	7	B20.4, B37.0, B37.3, B37.4, B37.7, B37.8, B37.9
112.3	Candidiasis of skin and nails	Both	infectious diseases	NA	NA	1	B37.2
117	Mycoses		infectious diseases	1	117.3	8	B43.2, B45.0, B45.9, B47.0, B48.7, B49, G02.1, J17.2
117.1	Histoplasmosis	Both	infectious diseases	NA	NA	2	B39.0, B39.9
117.2	Coccidioidomycosis	Both	infectious diseases	NA	NA	1	B38.9
117.3	Blastomycotic infection	Both	infectious diseases	NA	NA	1	B40.8
117.4	Aspergillosis	Both	infectious diseases	1	117.3	5	B44.0, B44.1, B44.7, B44.8, B44.9
130	Spirochetal infection		infectious diseases	3	102.1, 104.8, 104.9	8	A27.0, A27.9, A66.1, A66.6, A67.1, A68.9, A69.8, A69.9
130.1	Lyme disease	Both	infectious diseases	NA	NA	1	A69.2
131	Protozoan infection	Both	infectious diseases	2	130.9, 131.0	5	A59.0, A59.9, B58.0, B58.8, B58.9
132	Infestation (lice, mites)		infectious diseases	NA	NA	8	B86, B87.0, B87.1, B87.9, B88.0, B88.1, B88.8, B88.9
132.1	Pediculosis and phthirus infestation	Both	infectious diseases	NA	NA	2	B85.0, B85.1
133	Arthropod-borne diseases		infectious diseases	3	084.0, 084.1, 084.6	15	A44.9, B50.0, B50.8, B50.9, B51.8, B51.9, B52.9, B53.0, B53.8, B54, B55.0, B55.1, B55.2, B55.9, B57.3
134	Helminthiases		infectious diseases	2	122.0, 128.9	12	B65.0, B65.1, B65.2, B65.3, B65.8, B65.9, B66.3, B76.9, B82.9, B83.2, B83.8, B83.9
134.1	Intestinal helminthiases	Both	infectious diseases	1	122.0	11	B67.0, B67.5, B67.8, B67.9, B68.9, B77.9, B78.7, B78.9, B80, B81.4, B82.0
136	Other infectious and parasitic diseases		infectious diseases	4	136.8, 136.9, 139.8, V12.0	17	A75.0, A75.3, A75.9, A77.0, A77.3, A77.9, A79.9, B20.7, B23.0, B60.1, B89, B94.2, B94.8, B94.9, B99, J17.3, T61.1
145	Cancer of mouth	Both	neoplasms	7	141.3, 141.6, 141.9, 142.0, 144.0, 144.9, 230.0	11	C05.0, C05.1, C05.2, C05.8, C05.9, C06.0, C06.1, C06.2, C06.8, C06.9, D00.0
145.1	Cancer of lip	Both	neoplasms	NA	NA	8	C00.0, C00.1, C00.2, C00.3, C00.4, C00.5, C00.6, C00.9
145.2	Cancer of tongue	Both	neoplasms	3	141.3, 141.6, 141.9	8	C01, C02.0, C02.1, C02.2, C02.3, C02.4, C02.8, C02.9
145.3	Cancer of major salivary glands	Both	neoplasms	1	142.0	5	C07, C08.0, C08.1, C08.8, C08.9
145.4	Cancer of the gums	Both	neoplasms	NA	NA	3	C03.0, C03.1, C03.9
145.5	Cancer of the mouth floor	Both	neoplasms	2	144.0, 144.9	4	C04.0, C04.1, C04.8, C04.9
149	Cancer of larynx, pharynx, nasal cavities	Both	neoplasms	5	146.0, 160.0, 161.0, 161.3, 161.9	3	C06.8, C14.0, C14.8
149.1	Cancer of oropharynx	Both	neoplasms	1	146.0	10	C09.0, C09.1, C09.8, C09.9, C10.0, C10.2, C10.3, C10.4, C10.8, C10.9
149.2	Cancer of nasopharynx	Both	neoplasms	NA	NA	5	C11.0, C11.1, C11.2, C11.3, C11.9
149.3	Cancer of hypopharynx	Both	neoplasms	NA	NA	6	C12, C13.0, C13.1, C13.2, C13.8, C13.9
149.4	Cancer of larynx	Both	neoplasms	3	161.0, 161.3, 161.9	7	C32.0, C32.1, C32.2, C32.3, C32.8, C32.9, D02.0
149.9	Cancer of of nasal cavities	Both	neoplasms	1	160.0	8	C30.0, C30.1, C31.0, C31.1, C31.2, C31.3, C31.8, C31.9
150	Cancer of esophagus		neoplasms	2	150, 150.5	9	C15.0, C15.1, C15.2, C15.3, C15.4, C15.5, C15.8, C15.9, D00.1
151	Cancer of stomach		neoplasms	1	151.9	10	C16.0, C16.1, C16.2, C16.3, C16.4, C16.5, C16.6, C16.8, C16.9, D00.2
153	Colorectal cancer	Both	neoplasms	12	153.0, 153.2, 153.3, 153.4, 153.6, 153.7, 153.9, 154.0, 154.1, 154.2, 154.3, 159.0	1	C21.8
153.2	Colon cancer	Both	neoplasms	8	153.0, 153.2, 153.3, 153.4, 153.6, 153.7, 153.9, 159.0	12	C18.0, C18.1, C18.2, C18.3, C18.4, C18.5, C18.6, C18.7, C18.8, C18.9, C26.0, D01.0
153.3	Malignant neoplasm of rectum, rectosigmoid junction, and anus	Both	neoplasms	4	154.0, 154.1, 154.2, 154.3	7	C19, C20, C21.0, C21.1, D01.1, D01.2, D01.3
155	Cancer of liver and intrahepatic bile duct		neoplasms	1	155.1	3	C22.1, C22.9, D01.5
155.1	Malignant neoplasm of liver, primary	Both	neoplasms	NA	NA	5	C22.0, C22.2, C22.3, C22.4, C22.7
157	Pancreatic cancer		neoplasms	3	157.0, 157.4, 157.9	8	C25.0, C25.1, C25.2, C25.3, C25.4, C25.7, C25.8, C25.9
158	Neoplasm of unspecified nature of digestive system	Both	neoplasms	3	235.2, 235.5, 239.0	8	D37.0, D37.1, D37.2, D37.3, D37.4, D37.5, D37.7, D37.9
159	Malignant neoplasm of other and ill-defined sites within the digestive organs and peritoneum		neoplasms	3	152.1, 156.1, V10.0	6	C26.1, C26.8, C26.9, D01.7, D01.9, Z85.0
159.2	Malignant neoplasm of small intestine, including duodenum	Both	neoplasms	1	152.1	6	C17.0, C17.1, C17.2, C17.3, C17.8, C17.9
159.3	Malignant neoplasm of gallbladder and extrahepatic bile ducts	Both	neoplasms	1	156.1	5	C23, C24.0, C24.1, C24.8, C24.9
159.4	Malignant neoplasm of retroperitoneum and peritoneum	Both	neoplasms	NA	NA	5	C45.1, C48.0, C48.1, C48.2, C48.8
164	Cancer of intrathoracic organs		neoplasms	2	164.9, 195.1	7	C37, C38.0, C38.1, C38.2, C38.3, C45.2, C76.1
165	Cancer within the respiratory system		neoplasms	4	162.3, 162.9, V10.1, V10.2	9	C38.4, C39.0, C39.8, C39.9, C45.0, D02.1, D02.3, Z85.1, Z85.2
165.1	Cancer of bronchus; lung	Both	neoplasms	2	162.3, 162.9	9	C33, C34.0, C34.1, C34.2, C34.3, C34.8, C34.9, D02.2, Z85.1
170	Cancer of bone and connective tissue		neoplasms	7	170.2, 170.7, 170.9, 171.2, 171.3, 171.7, 171.9	NA	NA
170.1	Bone cancer	Both	neoplasms	3	170.2, 170.7, 170.9	12	C40.0, C40.1, C40.2, C40.3, C40.8, C40.9, C41.0, C41.1, C41.2, C41.3, C41.4, C41.9
170.2	Cancer of connective tissue	Both	neoplasms	4	171.2, 171.3, 171.7, 171.9	17	C47.0, C47.1, C47.2, C47.3, C47.4, C47.5, C47.6, C47.9, C49.0, C49.1, C49.2, C49.3, C49.4, C49.5, C49.6, C49.8, C49.9
172	Skin cancer		neoplasms	18	172.0, 172.3, 172.5, 172.6, 172.7, 172.9, 173.0, 173.1, 173.2, 173.3, 173.4, 173.5, 173.6, 173.7, 173.9, 232.5, 232.6, 232.7	NA	NA
172.1	Melanomas of skin, dx or hx	Both	neoplasms	6	172.0, 172.3, 172.5, 172.6, 172.7, 172.9	NA	NA
172.11	Melanomas of skin	Both	neoplasms	6	172.0, 172.3, 172.5, 172.6, 172.7, 172.9	20	C43.0, C43.1, C43.2, C43.3, C43.4, C43.5, C43.6, C43.7, C43.8, C43.9, D03.0, D03.1, D03.2, D03.3, D03.4, D03.5, D03.6, D03.7, D03.8, D03.9
172.2	Other non-epithelial cancer of skin	Both	neoplasms	9	173.0, 173.1, 173.2, 173.3, 173.4, 173.5, 173.6, 173.7, 173.9	10	C44.0, C44.1, C44.2, C44.3, C44.4, C44.5, C44.6, C44.7, C44.8, C44.9
172.3	Carcinoma in situ of skin	Both	neoplasms	3	232.5, 232.6, 232.7	10	D04.0, D04.1, D04.2, D04.3, D04.4, D04.5, D04.6, D04.7, D04.8, D04.9
173	Neoplasm of uncertain behavior of skin	Both	neoplasms	1	238.2	1	D48.5
174	Breast cancer	Both	neoplasms	10	174.0, 174.3, 174.4, 174.5, 174.8, 174.9, 233.0, 238.3, 239.3, V10.3	NA	NA
174.1	Breast cancer [female]	Female	neoplasms	8	174.0, 174.3, 174.4, 174.5, 174.8, 174.9, 233.0, V10.3	3	D05.1, D05.7, D05.9
174.11	Malignant neoplasm of female breast	Female	neoplasms	7	174.0, 174.3, 174.4, 174.5, 174.8, 174.9, V10.3	10	C50.0, C50.1, C50.2, C50.3, C50.4, C50.5, C50.6, C50.8, C50.9, Z85.3
174.3	Neoplasm of uncertain behavior of breast	Both	neoplasms	2	238.3, 239.3	1	D48.6
175	Acquired absence of breast	Female	neoplasms	NA	NA	1	Z90.1
180	Cervical cancer and dysplasia	Female	neoplasms	4	180.0, 180.9, 233.1, 622.1	NA	NA
180.1	Cervical cancer	Female	neoplasms	2	180.0, 180.9	4	C53.0, C53.1, C53.8, C53.9
180.3	Cervical intraepithelial neoplasia [CIN] [Cervical dysplasia]	Female	neoplasms	2	233.1, 622.1	8	D06.0, D06.1, D06.7, D06.9, N87.0, N87.1, N87.2, N87.9
182	Malignant neoplasm of uterus	Female	neoplasms	2	182.0, 233.2	8	C54.0, C54.1, C54.2, C54.3, C54.8, C54.9, C55, D07.0
184	Cancer of other female genital organs	Female	neoplasms	6	183.0, 184.4, 233.3, 236.0, 236.2, 236.3	1	D39.1
184.1	Malignant neoplasm of ovary and other uterine adnexa	Female	neoplasms	1	183.0	8	C51.8, C57.0, C57.1, C57.4, C57.7, C57.8, C57.9, C58
184.11	Malignant neoplasm of ovary	Female	neoplasms	1	183.0	1	C56
184.2	Cancer of other female genital organs (excluding uterus and ovary)	Female	neoplasms	4	184.4, 233.3, 236.0, 236.3	11	C51.0, C51.1, C51.2, C51.9, C52, D07.1, D07.2, D07.3, D39.0, D39.2, N90.3
185	Cancer of prostate	Male	neoplasms	NA	NA	2	C61, D07.5
187	Cancer of other male genital organs	Male	neoplasms	5	186.0, 186.9, 187.4, 236.4, 236.6	3	D05.0, D07.4, D07.6
187.1	Malignant neoplasm of unspecified male genital organ	Male	neoplasms	1	187.4	9	C60.0, C60.1, C60.2, C60.8, C60.9, C63.1, C63.2, C63.7, C63.9
187.2	Malignant neoplasm of testis	Male	neoplasms	2	186.0, 186.9	3	C62.0, C62.1, C62.9
187.8	Neoplasm of uncertain behavior of male genital organs	Male	neoplasms	2	236.4, 236.6	4	D40.0, D40.1, D40.7, D40.9
189	Cancer of urinary organs (incl. kidney and bladder)		neoplasms	8	188.2, 188.4, 188.9, 189.0, 233.7, 236.7, 239.4, V10.5	2	D09.1, Z85.5
189.1	Cancer of kidney and renal pelvis	Both	neoplasms	1	189.0	NA	NA
189.11	Malignant neoplasm of kidney, except pelvis	Both	neoplasms	1	189.0	1	C64
189.12	Malignant neoplasm of renal pelvis	Both	neoplasms	NA	NA	1	C65
189.2	Cancer of bladder	Both	neoplasms	6	188.2, 188.4, 188.9, 233.7, 236.7, 239.4	2	D09.0, D41.4
189.21	Malignant neoplasm of bladder	Both	neoplasms	3	188.2, 188.4, 188.9	10	C67.0, C67.1, C67.2, C67.3, C67.4, C67.5, C67.6, C67.7, C67.8, C67.9
189.4	Malignant neoplasm of other urinary organs	Both	neoplasms	1	V10.5	4	C66, C68.0, C68.8, C68.9
190	Cancer of eye		neoplasms	2	190.6, 190.9	10	C69.0, C69.1, C69.2, C69.3, C69.4, C69.5, C69.6, C69.8, C69.9, D09.2
191	Manlignant and unknown neoplasms of brain and nervous system		neoplasms	5	191.3, 191.6, 191.9, 237.5, 239.6	8	D42.0, D42.1, D42.9, D43.0, D43.1, D43.2, D43.3, D43.4
191.1	Cancer of brain and nervous system	Both	neoplasms	3	191.3, 191.6, 191.9	10	C70.0, C70.1, C70.9, C72.0, C72.1, C72.2, C72.4, C72.5, C72.8, C72.9
191.11	Cancer of brain	Both	neoplasms	3	191.3, 191.6, 191.9	10	C71.0, C71.1, C71.2, C71.3, C71.4, C71.5, C71.6, C71.7, C71.8, C71.9
193	Thyroid cancer		neoplasms	NA	NA	1	C73
194	Cancer of other endocrine glands		neoplasms	NA	NA	10	C74.0, C74.1, C74.9, C75.0, C75.1, C75.2, C75.3, C75.4, C75.5, C75.9
195	Cancer, suspected or other		neoplasms	8	195.0, 199.0, 199.1, 234.8, V10.4, V10.8, V10.9, V71.1	5	D05.0, D09.3, D09.7, D09.9, Z03.1
195.1	Malignant neoplasm, other	Both	neoplasms	5	199.0, 199.1, V10.4, V10.8, V10.9	17	B21.7, C06.8, C45.7, C45.9, C76.2, C76.3, C76.4, C76.5, C76.7, C76.8, C80, C97, M90.7, Z85.4, Z85.8, Z85.9, Z86.0
195.3	Malignant neoplasm of head, face, and neck	Both	neoplasms	1	195.0	1	C76.0
196	Radiotherapy		neoplasms	NA	NA	1	Z54.1
197	Chemotherapy		neoplasms	2	V58.1, V67.2	3	Z51.1, Z51.2, Z54.2
198	Secondary malignant neoplasm		neoplasms	12	196.0, 196.1, 196.2, 196.3, 196.5, 196.9, 197.0, 197.5, 197.6, 198.3, 198.5, 198.8	5	C79.0, C79.1, C79.6, C79.7, C79.8
198.1	Secondary malignancy of lymph nodes	Both	neoplasms	6	196.0, 196.1, 196.2, 196.3, 196.5, 196.9	8	C77.0, C77.1, C77.2, C77.3, C77.4, C77.5, C77.8, C77.9
198.2	Secondary malignancy of respiratory organs	Both	neoplasms	1	197.0	4	C78.0, C78.1, C78.2, C78.3
198.3	Secondary malignant neoplasm of digestive systems	Both	neoplasms	2	197.5, 197.6	4	C78.4, C78.5, C78.6, C78.8
198.4	Secondary malignant neoplasm of liver	Both	neoplasms	NA	NA	1	C78.7
198.5	Secondary malignancy of brain/spine	Both	neoplasms	1	198.3	2	C79.3, C79.4
198.6	Secondary malignancy of bone	Both	neoplasms	1	198.5	1	C79.5
198.7	Secondary malignant neoplasm of skin	Both	neoplasms	NA	NA	1	C79.2
199	Neoplasm of uncertain behavior	Both	neoplasms	11	235.4, 235.7, 237.0, 237.1, 237.7, 238.1, 238.8, 239.2, 239.5, 239.7, 239.8	33	D20.0, D37.6, D38.0, D38.1, D38.2, D38.3, D38.4, D38.5, D39.7, D41.0, D41.1, D41.2, D41.3, D41.7, D41.9, D44.0, D44.1, D44.2, D44.3, D44.4, D44.5, D44.6, D44.7, D44.8, D44.9, D48.0, D48.1, D48.2, D48.3, D48.4, D48.7, D48.9, M90.7
199.4	Neurofibromatosis	Both	neoplasms	1	237.7	1	Q85.0
200	Myeloproliferative disease		neoplasms	3	238.4, 238.6, 238.7	16	C88.7, C94.4, C94.5, D46.0, D46.1, D46.2, D46.4, D46.7, D46.9, D47.0, D47.1, D47.3, D47.7, D47.9, D57.8, D75.2
200.1	Polycythemia vera	Both	neoplasms	1	238.4	1	D45
201	Hodgkin's disease		neoplasms	4	201.5, 201.6, 201.7, 201.9	6	C81.0, C81.1, C81.2, C81.3, C81.7, C81.9
202	Cancer of other lymphoid, histiocytic tissue		neoplasms	5	200.1, 202.0, 202.8, 202.9, V10.7	4	C96.1, C96.2, C96.3, Z85.7
202.2	Non-Hodgkins lymphoma	Both	neoplasms	4	200.1, 202.0, 202.8, 202.9	25	B21.1, C82.0, C82.1, C82.2, C82.7, C83.0, C83.1, C83.2, C83.4, C83.5, C83.6, C83.7, C83.8, C83.9, C84.0, C84.1, C84.3, C84.4, C84.5, C85.1, C85.7, C85.9, C96.7, C96.9, L41.2
202.21	Nodular lymphoma	Both	neoplasms	1	202.0	1	C82.9
202.23	Lymphosarcoma	Both	neoplasms	1	200.1	2	C83.2, C85.0
202.24	Large cell lymphoma	Both	neoplasms	NA	NA	1	C83.3
204	Leukemia		neoplasms	7	202.4, 204.0, 205.0, 205.1, 205.9, 208.0, V10.6	9	C90.1, C91.4, C94.0, C94.2, C94.7, C95.0, C95.1, C95.9, Z85.6
204.1	Lymphoid leukemia	Both	neoplasms	1	204.0	5	C91.2, C91.3, C91.5, C91.7, C91.9
204.11	Lymphoid leukemia, acute	Both	neoplasms	1	204.0	1	C91.0
204.12	Lymphoid leukemia, chronic	Both	neoplasms	NA	NA	1	C91.1
204.2	Myeloid leukemia	Both	neoplasms	3	205.0, 205.1, 205.9	4	C92.2, C92.3, C92.7, C92.9
204.21	Myeloid leukemia, acute	Both	neoplasms	1	205.0	4	C92.0, C92.4, C92.5, D46.3
204.22	Myeloid leukemia, chronic	Both	neoplasms	1	205.1	1	C92.1
204.3	Monocytic leukemia	Both	neoplasms	NA	NA	2	C93.0, C93.1
204.4	Multiple myeloma	Both	neoplasms	NA	NA	4	C88.3, C88.9, C90.0, C90.2
208	Benign neoplasm of colon		neoplasms	2	211.3, 211.4	11	D12.0, D12.1, D12.2, D12.3, D12.4, D12.5, D12.6, D12.7, D12.8, D12.9, K63.5
210	Benign neoplasm of lip, oral cavity, and pharynx		neoplasms	5	210.0, 210.1, 210.2, 210.3, 210.4	11	D10.0, D10.1, D10.2, D10.3, D10.4, D10.5, D10.6, D10.9, D11.0, D11.7, D11.9
211	Benign neoplasm of other parts of digestive system		neoplasms	6	211.1, 211.2, 211.5, 211.7, 211.8, 211.9	11	D13.0, D13.1, D13.2, D13.3, D13.4, D13.5, D13.6, D13.7, D13.9, D19.1, K31.7
212	Benign neoplasm of respiratory and intrathoracic organs		neoplasms	5	212.0, 212.1, 212.3, 212.5, 212.7	10	D14.0, D14.1, D14.2, D14.3, D14.4, D15.0, D15.1, D15.2, D15.7, D19.0
213	Benign neoplasm of bone and articular cartilage		neoplasms	7	213.0, 213.1, 213.4, 213.5, 213.7, 213.8, 213.9	10	D16.0, D16.1, D16.2, D16.3, D16.4, D16.5, D16.6, D16.7, D16.8, D16.9
214	Lipoma		neoplasms	1	214.9	5	D17.4, D17.5, D17.6, D17.7, D17.9
214.1	Lipoma of skin and subcutaneous tissue	Both	neoplasms	NA	NA	4	D17.0, D17.1, D17.2, D17.3
215	Other benign neoplasm of connective and other soft tissue		neoplasms	8	215.0, 215.2, 215.3, 215.4, 215.5, 215.6, 215.7, 215.9	11	D20.0, D20.1, D21.0, D21.1, D21.2, D21.3, D21.4, D21.5, D21.6, D21.9, D36.1
216	Benign neoplasm of skin		neoplasms	10	216.0, 216.1, 216.2, 216.3, 216.4, 216.5, 216.6, 216.7, 216.8, 216.9	18	D22.0, D22.1, D22.2, D22.3, D22.4, D22.5, D22.6, D22.7, D22.9, D23.0, D23.1, D23.2, D23.3, D23.4, D23.5, D23.6, D23.7, D23.9
217	Vascular hamartomas and non-neoplastic nevi	Both	neoplasms	1	448.1	1	Q82.5
217.1	Nevus, non-neoplastic	Both	neoplasms	1	448.1	1	I78.1
218	Benign neoplasm of uterus	Female	neoplasms	4	218.9, 219.0, 219.1, 219.9	NA	NA
218.1	Uterine leiomyoma	Female	neoplasms	1	218.9	4	D25.0, D25.1, D25.2, D25.9
218.2	Other benign neoplasm of uterus	Female	neoplasms	3	219.0, 219.1, 219.9	4	D26.0, D26.1, D26.7, D26.9
220	Benign neoplasm of ovary	Female	neoplasms	NA	NA	1	D27
221	Benign neoplasm of other female genital organs	Female	neoplasms	3	221.0, 221.1, 221.2	5	D28.0, D28.1, D28.2, D28.7, D28.9
222	Benign neoplasm of male genital organs	Male	neoplasms	3	222.0, 222.1, 222.4	7	D29.0, D29.1, D29.2, D29.3, D29.4, D29.7, D29.9
223	Benign neoplasm of kidney and other urinary organs		neoplasms	2	223.0, 223.3	6	D30.0, D30.1, D30.2, D30.3, D30.4, D30.9
224	Benign neoplasm of eye	Both	neoplasms	2	224.1, 224.3	5	D31.0, D31.2, D31.5, D31.6, D31.9
224.1	Benign neoplasm of eye, uveal	Both	neoplasms	NA	NA	3	D31.1, D31.3, D31.4
225	Benign neoplasm of brain and other parts of nervous system		neoplasms	4	225.1, 225.2, 225.3, 225.4	1	D33.9
225.1	Benign neoplasm of brain, cranial nerves, meninges	Both	neoplasms	2	225.1, 225.2	6	D32.0, D32.9, D33.0, D33.1, D33.2, D33.3
225.2	Benign neoplasm of spinal cord, meninges	Both	neoplasms	2	225.3, 225.4	2	D32.1, D33.4
226	Benign neoplasm of thyroid glands		neoplasms	NA	NA	1	D34
227	Benign neoplasm of other endocrine glands and related structures		neoplasms	4	227.0, 227.1, 227.3, 227.5	5	D35.4, D35.5, D35.6, D35.7, D35.9
227.1	Benign neoplasm of adrenal gland	Both	neoplasms	1	227.0	1	D35.0
227.2	Benign neoplasm of parathyroid gland	Both	neoplasms	1	227.1	1	D35.1
227.3	Benign neoplasm of pituitary gland and craniopharyngeal duct (pouch)	Both	neoplasms	1	227.3	2	D35.2, D35.3
228	Hemangioma and lymphangioma, any site	Both	neoplasms	2	228.0, 228.1	2	D18.0, D18.1
229	Benign neoplasm of unspecified sites		neoplasms	2	229.0, 229.8	8	D13.3, D17.3, D19.7, D19.9, D20.0, D22.3, D36.7, D36.9
229.1	Benign neoplasm of lymph nodes	Both	neoplasms	1	229.0	1	D36.0
